"1_1_1" "2_1_1" "3_1_1" "1_2_1" "2_2_1" "3_2_1" "1_3_1" "2_3_1" "3_3_1" "1_4_1" "2_4_1" "3_4_1" "1_1_2" "2_1_2" "3_1_2" "1_2_2" "2_2_2" "3_2_2" "1_3_2" "2_3_2" "3_3_2" "1_4_2" "2_4_2" "3_4_2" "1_1_3" "2_1_3" "3_1_3" "1_2_3" "2_2_3" "3_2_3" "1_3_3" "2_3_3" "3_3_3" "1_4_3" "2_4_3" "3_4_3"
"1_1_1" 0.157984319153497 0.00862669241597307 1.75126716046646e-06 3.0258237809096e-07 9.44676181583422e-08 1.7338332155199e-06 0.0379870666248579 0.018502353825931 0.0222060945735473 1.23655315621775e-06 2.5216788418835e-07 1.58231721979031e-08 1.08075138173728e-05 5.55039843261372e-07 4.02767180094887e-10 1.72785098957478e-06 4.92864068145884e-07 0.000179895705536954 1.04505947571696e-06 1.00138356203638e-07 1.41038902760732e-07 1.72711908881019e-08 9.76090985874803e-12 5.93126381406367e-08 2.27492713245922e-06 3.23922363803715e-07 8.96494387940778e-11 1.72785098957478e-06 1.55001100082937e-06 7.16604187388763e-09 1.82422376030966e-07 0.00369527860582416 0.0158674992376898 4.67620695294992e-12 1.49123688998759e-11 3.89512434568066e-08
"2_1_1" 0.0712272202190308 0.00388934372579948 7.89558687654983e-07 1.36419245873022e-07 4.25907196244837e-08 7.81698594687222e-07 0.0171264665661842 0.00834178504291664 0.0100116163228702 5.57499911651895e-07 1.13689874510898e-07 7.1338761767151e-09 4.87256691559561e-06 2.50239677951221e-07 1.81587557469823e-10 7.79001508501223e-07 2.2220773370404e-07 8.11059673731861e-05 4.7116499800562e-07 4.51473715107023e-08 6.3587380318604e-08 7.78671531088168e-09 4.40070558756948e-12 2.67410991245918e-08 1.02565075264518e-06 1.46040377071217e-07 4.04184437652587e-11 7.79001508501223e-07 6.98822360912458e-07 3.23080952201509e-09 8.2245116604339e-08 0.00166601612386595 0.00715386101977715 2.10826760663452e-12 6.72324056786223e-12 1.75611656294031e-08
"3_1_1" 0.0149830512171878 0.000818145591891729 1.66088164324422e-07 2.86965649037009e-08 8.95920031061416e-09 1.64434749026932e-07 0.00360264973055948 0.00175474196741707 0.00210600048227514 1.17273279852443e-07 2.39153122561043e-08 1.50065146167588e-09 1.02497218663094e-06 5.26393406872553e-08 3.81979763580251e-11 1.63867401595182e-07 4.67426616496441e-08 1.70611019134974e-05 9.91122393258607e-08 9.49700658801675e-09 1.33759674061502e-08 1.63797988968027e-09 9.25713470321572e-13 5.62514241824368e-09 2.15751474093383e-07 3.07204246172564e-08 8.50224971845931e-12 1.63867401595182e-07 1.4700126149904e-07 6.79619173575391e-10 1.73007284386081e-08 0.00035045597505818 0.00150485538717297 4.43486091870576e-13 1.41427192390753e-12 3.69409115292923e-09
"1_2_1" 0.0167204467735325 1.11891173102274e-07 1.74713422261892e-06 3.01868292775687e-07 9.42446774196205e-08 1.72974142125829e-06 0.0477623101221161 0.00895611576210977 3.99983027051397e-08 1.23363492794557e-06 0.00125175216157085 1.57858299872335e-08 1.14382528915433e-06 7.19905801510048e-12 4.01816661658901e-10 1.72377331318655e-06 4.91700923762825e-07 0.000179471157080381 1.31398550112281e-06 4.84722494675372e-08 2.54043623345847e-13 1.72304313968576e-08 4.84527998238664e-08 5.91726620978361e-08 2.40769452536564e-07 4.20138467125017e-12 8.94378688137991e-11 1.72377331318655e-06 1.54635302146789e-06 7.1491302305095e-09 2.29365278010246e-07 0.00178870987326087 2.85810292116262e-08 4.66517124512929e-12 7.40244542426308e-08 3.88593196933024e-08
"2_2_1" 0.00918527781614659 6.14667493063529e-08 9.59777775929707e-07 1.65829548132628e-07 5.17727520392952e-08 9.50223144126967e-07 0.0262379405021066 0.00491998883419595 2.19728292848371e-08 6.7768999778276e-07 0.000687642592133988 8.67185165295463e-09 6.28353607790412e-07 3.95475962926585e-12 2.20735589095376e-10 9.46944599515195e-07 2.7011297295995e-07 9.85914108693586e-05 7.21830106436308e-07 2.662794145176e-08 1.39557350916355e-13 9.46543483052847e-09 2.66172569058886e-08 3.25061493781343e-08 1.32265264268571e-07 2.30800563768545e-12 4.91321603702135e-11 9.46944599515195e-07 8.49479819313433e-07 3.92733209826597e-09 1.26000448937568e-07 0.000982617111905938 1.57008181142474e-08 2.56278402884793e-12 4.06648929072573e-08 2.1347135753241e-08
"3_2_1" 1.92734256446937e-08 1.28975393677751e-13 2.01389723534471e-12 3.47959368197771e-13 1.08634524379485e-13 1.99384879595088e-12 5.50549483052435e-08 1.03235896471099e-08 4.61054853104618e-14 1.42199376478938e-12 1.44287724714448e-09 1.81961059186724e-14 1.31847144754128e-12 8.29825370369347e-18 4.63168458126418e-16 1.98696944106771e-12 5.66776792625613e-13 2.06873898060625e-10 1.5146127491153e-12 5.58732854807714e-14 2.92832539188804e-19 1.98612778026368e-14 5.5850866147952e-14 6.82075017843729e-14 2.77531587751749e-13 4.84287747587433e-18 1.03093783183549e-16 1.98696944106771e-12 1.78245954688759e-12 8.2407026431894e-15 2.64386154932333e-13 2.06182090760842e-09 3.29449534943688e-14 5.37747778696267e-18 8.53269553175318e-14 4.47925954884049e-14
"1_3_1" 0.054120294308872 0.0150740059431468 0.00538464179661448 0.00573672107301606 4.0407898416473e-08 7.41635682254661e-07 0.0445916450472298 0.00723264020044487 0.00447336526153234 0.0879459099607103 0.0101921092151701 6.76825717916935e-09 3.70230306195846e-06 9.6985883958417e-07 1.23839299976699e-06 0.032758679621275 2.10819343040775e-07 7.69491973716611e-05 1.2267575607936e-06 3.91444627801814e-08 2.84119535762975e-08 0.00122835851505584 3.94515977480636e-07 2.53705883933967e-08 7.79316115672901e-07 5.66011560590061e-07 2.75646186984427e-07 0.032758679621275 6.63006946580859e-07 3.06522698183084e-09 2.14139036345651e-07 0.00144449840532562 0.00319647021416489 3.32580345271757e-07 6.02727397161003e-07 1.6661136582906e-08
"2_3_1" 0.125276492094302 0.0348929844244496 0.0124642529032523 0.0132792384322474 9.3535333300817e-08 1.71672231038843e-06 0.10321977992857 0.0167419598223329 0.010354849598987 0.203575298963462 0.0235924749823324 1.56670160025241e-08 8.5700114198403e-06 2.24500836149071e-06 2.86660545413029e-06 0.0758290863159938 4.88000076478597e-07 0.000178120345413819 2.8396719904975e-06 9.061075969081e-08 6.57673784490345e-08 0.00284337784495632 9.13217091020638e-07 5.87272918021094e-08 1.80394416643174e-06 1.31019137462304e-06 6.38059859163003e-07 0.0758290863159938 1.53471420587209e-06 7.09532142536082e-09 4.95684431070062e-07 0.00334369380961298 0.0073991204339932 7.69849823014129e-07 1.39518040265132e-06 3.85668402595576e-08
"3_3_1" 0.0161717149433917 0.00450427201626656 0.00160898778026133 0.00171419278271285 1.20743063761501e-08 2.21608566590963e-07 0.013324454010637 0.00216118920089715 0.00133668873702545 0.0262791657821538 0.00304550976679792 2.02242665460059e-09 1.10628721659083e-06 2.89804053902063e-07 3.7004489417273e-07 0.00978863909596866 6.29950439801957e-08 2.29932320381579e-05 3.66568102246119e-07 1.16967784779679e-08 8.48979149297493e-09 0.000367046484270773 1.17885536468424e-07 7.58099948796612e-09 2.32867877649132e-07 1.69130226090183e-07 8.23659889154418e-08 0.00978863909596866 1.98113470787917e-07 9.15922162286452e-10 6.39870033645914e-08 0.00043163136389819 0.000955139024808349 9.93785161036711e-08 1.80101305433262e-07 4.97852339667527e-09
"1_4_1" 1.55782397383217e-07 0.00804660095625153 0.00097942126026182 0.0167286772087702 6.48916208011698e-08 0.00142416613766363 0.0116522221499 0.00544374802087017 0.000118752315242469 0.00219052331750464 1.73218961565813e-07 1.08692408060599e-08 1.06568830453785e-11 5.17716862754389e-07 2.2525331829757e-07 0.095526585691522 3.38557791973083e-07 0.147765869198678 3.20563451007389e-07 2.94626285674395e-08 7.5423871526e-10 3.05954872794799e-05 6.70495640280249e-12 4.07429900104803e-08 2.2432201149172e-12 3.02140597653408e-07 5.01377335837631e-08 0.095526585691522 1.06473231848473e-06 5.88616833875232e-06 5.59565725781641e-08 0.00108722197112167 8.48551853790816e-05 8.28378490355033e-09 1.02435925321618e-11 2.6756357039684e-08
